SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
IRFC,BOND 8.65% PA TF TI-SIIB,1187,1212,1212,1212,1212,52116,43, ,1,1298.9,1137.1
NHAI,TAX FREE7.60% SR.IIB,1172,1173.3,1175,1171,1174.85,2668923.84,2276, ,27,1217,1090
TATACAPHSG,SEC RED NCD 8.40% SR.V,1077.03,1078,1078,1078,1078,2156,2, ,1,1139,1002
CHOLAFIN,SEC RE NCD SR 6,1000,997,997,997,997,39880,40, ,1,1004.5,975
TATACAPHSG,UN SE RE NCD 8.55% SR.VI,1089,1094.94,1094.94,1094.94,1094.94,1094.94,1, ,1,1149,1031
IIFL,UNSEC RED NCD 10.00% SR.V,1002.51,1003,1008,1003,1008,47301,47, ,2,1043.9,971.6
IRFC,BOND 8.63% PA TF TII-SIIA,1230,1234,1234,1234,1234,11106,9, ,1,1250,1081
NTPC,TFB 7.53% 2030 SR. 2B,1111,1111,1111,1111,1111,173316,156, ,1,1199,1063
CREDITACC,SEC RE NCD 9.70% SR VII,1000.2,1001.21,1002,1000,1001.99,2058089.16,2055, ,7,1004.45,980
HUDCO,8.76% TAX FREETRI SR2B,1143,1145,1145,1142.1,1144.37,192261.8,168, ,4,1235,1130.01
IIFL,UNSEC RED NCD SR. VI,1498,1549,1549,1549,1549,774500,500, ,1,1549,1200.55
INDIGRID,SEC RE NCD 7.60% SR.II,1005,1005,1005,1005,1005,201000,200, ,3,1048,870
HUDCO,9.01% TAX FREETRII SR3B,1362,1360,1373,1357,1363.57,782808,575, ,34,1410,1205.1
IBULHSGFIN,UNS RED NCD 9.15% SR.IX,949.95,926.21,959,926.21,949.99,214980.46,226, ,3,1015,897.05
IIFL,UNSE RE NCD 10% SR.I,1020.05,1012,1022.11,1012,1021.08,710217.55,700, ,3,1091.1,900
IRFC,BOND 8.88% PA TF TII-SIIB,1220,1220,1220,1220,1220,42700,35, ,2,1284,1160
L&TFINANCE,SERENCD 8.89% SR.IV OPII,1005,1040,1040,1040,1040,1040,1, ,1,1105.56,960.12
NHAI,TAX FREE 7.69% SR. IIB,1147.7,1149,1149,1145,1145,116798,102, ,2,1205.9,1128
RECLTD,BOND8.44% PA TF TR II S1B,1015,1025,1025,1025,1025,151700,148, ,1,1099.99,1010.3
DHANILOANS,DHANI LOANS & SERV LTD,945.45,988.55,988.55,988.55,988.55,69198.5,70, ,4,1008,940
IIFL,UNSE RE NCD 9.6% SR.II,979.98,980,981.99,973,973.92,1264738.1,1296, ,38,1018.9,951.8
RECLTD,BOND8.88% PA TF TR II S2B,1179.77,1140,1157,1140,1156,760755,665, ,5,1294.9,1126
TCFSL,UNSERENCD9.1%SRIIICIII&IV,1060,1060,1064.5,1060,1064.5,107064.5,101, ,3,1195,1038
IIFL,UNSE RE NCD 0% SR.III,1173.9,1120,1120,1120,1120,560000,500, ,1,1200,1002.1
IFCI,9.90 % SRNCD SR VI,1005.9,1009.8,1009.8,1003.01,1006.26,498788.15,496, ,12,1099,999
